Source,EncounterNumber,EncounterID,CruiseID,KnownSpecies,FREQMAX,FREQMIN,DURATION,FREQBEG,FREQEND,FREQRANGE,FREQMEAN,FREQSTDDEV,FREQMEDIAN,FREQCENTER,FREQRELBW,FREQMAXMINRATIO,FREQBEGENDRATIO,FREQQUARTER1,FREQQUARTER2,FREQQUARTER3,FREQSPREAD,FREQCOFM,FREQSTEPUP,FREQSTEPDOWN,FREQNUMSTEPS,FREQSLOPEMEAN,FREQABSSLOPEMEAN,FREQPOSSLOPEMEAN,FREQNEGSLOPEMEAN,FREQSLOPERATIO,NUMSWEEPSUPDWN,NUMSWEEPSDWNUP,NUMSWEEPSUPFLAT,NUMSWEEPSDWNFLAT,NUMSWEEPSFLATUP,NUMSWEEPSFLATDWN,FREQSWEEPUPPERCENT,FREQSWEEPDWNPERCENT,FREQSWEEPFLATPERCENT,NUMINFLECTIONS,INFLMAXDELTA,INFLMINDELTA,INFLMAXMINDELTA,INFLMEANDELTA,INFLSTDDEVDELTA,INFLMEDIANDELTA,INFLDUR,STEPDUR,UID
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TESTING\ROCCA_Delphinus_TESTING_New\PMC_12_A15\Dsp_PMC_12_A15_072000_Whistle_03_H.wav,PMC_12_A15,PMC,PMC_12,Delphinus,15093.75,9937.5,1.253,15093.75,14250,5156.25,11814.48623,1202.062941,11625,12515.625,0.411985019,1.518867925,1.059210526,13218.75,10781.25,11718.75,2343.75,1.846875,0,0,0,-846.3145897,17584.53647,20702.53759,-37993.42105,-0.544897959,1,1,6,3,6,3,51.2195122,34.45121951,14.32926829,6,0.294,0.138,2.130434783,0.2294,0.068310321,0.245,4.788507582,0,0
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TESTING\ROCCA_Delphinus_TESTING_New\PMC_12_A15\Dsp_PMC_12_A15_072000_Whistle_04_M.wav,PMC_12_A15,PMC,PMC_12,Delphinus,13593.75,10312.5,1.051,11531.25,12281.25,3281.25,11752.36742,1030.222876,11437.5,11953.125,0.274509804,1.318181818,0.938931298,12468.75,10687.5,13500,1851.5625,1.40625,0,0,0,714.9655547,14261.91987,19410.83177,-25661.05769,-0.756431477,1,0,8,3,9,2,52.75590551,35.82677165,11.41732283,6,0.267,0.112,2.383928571,0.1952,0.067821088,0.197,5.708848716,0,1
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TESTING\ROCCA_Delphinus_TESTING_New\PMC_12_A15\Dsp_PMC_12_A15_072000_Whistle_07_M.wav,PMC_12_A15,PMC,PMC_12,Delphinus,13593.75,10125,0.901,10406.25,10406.25,3468.75,11823.52941,1133.006987,11718.75,11859.375,0.292490119,1.342592593,1,13406.25,10500,13593.75,2062.5,1.284375,0,0,0,-36.98224852,14996.30178,18866.60448,-25924.7449,-0.727745039,1,0,4,3,4,3,50.95238095,39.04761905,10,5,0.25,0.011,22.72727273,0.15725,0.104202927,0.184,5.549389567,0,2
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TESTING\ROCCA_Delphinus_TESTING_New\PMC_12_A15\Dsp_PMC_12_A15_072000_Whistle_09_M.wav,PMC_12_A15,PMC,PMC_12,Delphinus,12281.25,7968.75,0.768,12281.25,8812.5,4312.5,10116.59483,1759.007137,10687.5,10125,0.425925926,1.541176471,1.393617021,11812.5,10687.5,8062.5,3750,0.515625,0,0,0,-4552.641369,6809.585813,18055.55556,-21528.43045,-0.83868425,1,0,1,11,2,11,29.83050847,44.40677966,25.76271186,2,0.074,0.074,1,0.074,0,0.074,2.604166667,0,3
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TESTING\ROCCA_Delphinus_TESTING_New\PMC_12_A15\Dsp_PMC_12_A15_073000_Whistle_07_M.wav,PMC_12_A15,PMC,PMC_12,Delphinus,13312.5,7593.75,1.04,13031.25,7593.75,5718.75,10754.46429,1751.561803,10593.75,10453.125,0.547085202,1.75308642,1.716049383,12375,10593.75,9375,2953.125,0.571875,0,0,0,-5285.027473,5829.899267,17708.33333,-17765.66159,-0.996773086,0,0,1,40,0,41,22.83236994,55.20231214,21.96531792,1,0,0,0,0,0,0,0,0,4
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TESTING\ROCCA_Delphinus_TESTING_New\PMC_12_A15\Dsp_PMC_12_A15_073000_Whistle_14_M.wav,PMC_12_A15,PMC,PMC_12,Delphinus,12281.25,9468.75,0.928,9468.75,12281.25,2812.5,11629.28571,633.8397348,11812.5,10875,0.25862069,1.297029703,0.770992366,11437.5,11812.5,12093.75,656.25,0.253125,0,0,0,3121.151478,3121.151478,23612.18944,0,0,0,0,12,0,11,1,38.35920177,30.82039911,30.82039911,1,0,0,0,0,0,0,0,0,5
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TRAINING_SWA_1\ROCCA_Delphinus_TRAINING_SWA_1\Dsp_PMC_12_A15_072000_Whistle_02_H.wav,PMC_12_A15,PMC,PMC_12,Delphinus,14156.25,10218.75,1.248,13218.75,13781.25,3937.5,12053.85638,1243.031157,11812.5,12187.5,0.323076923,1.385321101,0.959183673,13218.75,11625,10500,2390.625,1.828125,0,0,0,443.5668498,15942.6511,19171.875,-33581.34921,-0.570908419,0,0,8,3,8,3,53.96825397,33.01587302,13.01587302,6,0.299,0.149,2.006711409,0.2264,0.072758505,0.251,4.807692308,0,6
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TRAINING_SWA_1\ROCCA_Delphinus_TRAINING_SWA_1\Dsp_PMC_12_A15_072000_Whistle_08_M.wav,PMC_12_A15,PMC,PMC_12,Delphinus,14343.75,8156.25,0.816,14343.75,9937.5,6187.5,10381.29058,1850.204996,10453.125,11250,0.55,1.75862069,1.443396226,12000,10500,8250,3539.0625,0.778125,0,0,0,-5392.156863,9795.168067,18712.79762,-23710.82362,-0.789209094,1,0,0,16,1,15,29.23076923,50,20.76923077,2,0.117,0.117,1,0.117,0,0.117,2.450980392,0,7
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TRAINING_SWA_1\ROCCA_Delphinus_TRAINING_SWA_1\Dsp_PMC_12_A15_072000_Whistle_10_M.wav,PMC_12_A15,PMC,PMC_12,Delphinus,14343.75,8437.5,0.666,13968.75,8437.5,5906.25,11417.41071,1535.972128,11625,11390.625,0.518518519,1.7,1.655555556,12281.25,11625,10781.25,1500,0.6,0,0,0,-8262.5,9362.5,17187.5,-27539.0625,-0.624113475,1,0,0,16,0,16,26.16033755,49.78902954,24.05063291,1,0,0,0,0,0,0,0,0,8
C:\Users\alebi\Documents\Delphinus_2023\Delphinus_TRAINING_SWA_1\ROCCA_Delphinus_TRAINING_SWA_1\Dsp_PMC_12_A15_073000_Whistle_05_M.wav,PMC_12_A15,PMC,PMC_12,Delphinus,13593.75,7218.75,1.04,9562.5,7218.75,6375,10671.23724,2109.496279,10312.5,10406.25,0.612612613,1.883116883,1.324675325,13593.75,10500,8812.5,4125,1.003125,0,0,0,-2110.805861,10125.91575,33977.09627,-18076.97511,-1.879578639,0,0,3,28,2,29,26.64473684,55.26315789,18.09210526,1,0,0,0,0,0,0,0,0,9
