Delphinus_KFOLD_5,S_attenuata_KFOLD_5,S_bredanensis_KFOLD_5,S_clymene_KFOLD_5,S_frontalis_KFOLD_5,S_longirostris_KFOLD_5,T_truncatus_KFOLD_5,Species_Classification,UID,KnownSpecies,EncounterNumber
0.435,0.035,0.015,0.33,0.04,0.06,0.085,Delphinus,0,Delphinus,PMC_12_A15
0.475,0.075,0.025,0.16,0.06,0.07,0.135,Delphinus,1,Delphinus,PMC_12_A15
0.23,0.14,0.03,0.36975,0.1,0.065,0.06525,S_clymene,2,Delphinus,PMC_12_A15
0.445,0.155,0.05,0.07,0.05,0.115,0.115,Delphinus,3,Delphinus,PMC_12_A15
0.365,0.2,0.025,0.035,0.045,0.19,0.14,Delphinus,4,Delphinus,PMC_12_A15
0.745,0.0,0.02,0.01,0.08,0.09,0.055,Delphinus,5,Delphinus,PMC_12_A15
0.435,0.065,0.025,0.22,0.085,0.05,0.12,Delphinus,6,Delphinus,PMC_12_A15
0.4375,0.125,0.035,0.05,0.03,0.06,0.2625,Delphinus,7,Delphinus,PMC_12_A15
0.47944444444444445,0.075,0.01,0.005555555555555556,0.095,0.045,0.29,Delphinus,8,Delphinus,PMC_12_A15
0.23,0.07,0.015,0.07,0.015,0.2,0.4,T_truncatus,9,Delphinus,PMC_12_A15
0.37,0.25,0.02,0.07,0.03,0.095,0.165,Delphinus,10,Delphinus,PMC_12_A15
0.465,0.07,0.0,0.025,0.02,0.345,0.075,Delphinus,11,Delphinus,PMC_12_A15
0.53,0.015,0.005,0.22,0.015,0.16,0.055,Delphinus,12,Delphinus,PMC_12_A15
0.565,0.005,0.01,0.01,0.055,0.305,0.05,Delphinus,13,Delphinus,PMC_12_A15
0.355,0.25,0.02,0.075,0.01,0.115,0.175,Delphinus,14,Delphinus,PMC_12_A15
0.555,0.1,0.01,0.1,0.14,0.045,0.05,Delphinus,15,Delphinus,PMC_12_A15
0.38,0.155,0.095,0.075,0.085,0.08,0.13,Delphinus,16,Delphinus,PMC_12_A33
0.34,0.135,0.04,0.08,0.025,0.155,0.225,Delphinus,17,Delphinus,PMC_12_A33
0.305,0.065,0.01,0.09,0.055,0.315,0.16,S_longirostris,18,Delphinus,PMC_12_A33
0.585,0.12,0.05,0.015,0.08,0.085,0.065,Delphinus,19,Delphinus,PMC_12_A33
0.29,0.1,0.055,0.145,0.275,0.035,0.1,Delphinus,20,Delphinus,PMC_12_A33
0.51,0.07,0.045,0.04,0.085,0.195,0.055,Delphinus,21,Delphinus,PMC_12_A33
0.7545000000000001,0.055,0.02,0.03025,0.035,0.07,0.03525,Delphinus,22,Delphinus,PMC_12_A33
0.015,0.125,0.04,0.025,0.42,0.185,0.19,S_frontalis,23,Delphinus,PMC_12_A33
0.155,0.085,0.1,0.025,0.29,0.285,0.06,S_frontalis,24,Delphinus,PMC_12_A33
0.15,0.15,0.125,0.065,0.125,0.035,0.35,T_truncatus,25,Delphinus,PMC_12_A33
0.24,0.035,0.37,0.02,0.255,0.015,0.065,S_bredanensis,26,Delphinus,PMC_12_A33
0.1,0.0,0.715,0.045,0.03,0.01,0.1,S_bredanensis,27,Delphinus,PMC_12_A33
0.395,0.03,0.005,0.005,0.42,0.115,0.03,S_frontalis,28,Delphinus,PMC_12_A33
0.155,0.155,0.095,0.09,0.235,0.1,0.17,S_frontalis,29,Delphinus,PMC_12_A33
0.315,0.145,0.035,0.015,0.37,0.075,0.045,S_frontalis,30,Delphinus,PMC_12_A33
0.075,0.02,0.82,0.0,0.01,0.035,0.04,S_bredanensis,31,Delphinus,PMC_12_A33
0.035,0.035,0.555,0.075,0.145,0.04,0.115,S_bredanensis,32,Delphinus,PMC_12_A33
0.615,0.045,0.035,0.11,0.085,0.08,0.03,Delphinus,33,Delphinus,PMC_12_A33
0.405,0.18,0.065,0.025,0.185,0.03,0.11,Delphinus,34,Delphinus,PMC_12_A33
0.695,0.03,0.02,0.05,0.065,0.015,0.125,Delphinus,35,Delphinus,PMC_12_A33
0.355,0.115,0.02,0.075,0.145,0.045,0.245,Delphinus,36,Delphinus,PMC_12_A33
0.45,0.085,0.085,0.115,0.105,0.055,0.105,Delphinus,37,Delphinus,PMC_12_A33
0.315,0.41,0.02,0.01,0.075,0.06,0.11,S_attenuata,38,Delphinus,PMC_12_A33
