Labels,precision,recall,f1-score,support
Delphinus,0.2241112828438949,0.6304347826086957,0.330672748004561,230.0
S_attenuata,0.30341113105924594,0.4470899470899471,0.36149732620320857,378.0
S_bredanensis,0.40476190476190477,0.8561151079136691,0.5496535796766744,139.0
S_clymene,0.42105263157894735,0.6436781609195402,0.509090909090909,435.0
S_frontalis,0.7902592301649647,0.5693265421618563,0.6618421052631579,1767.0
S_longirostris,0.6524216524216524,0.5407319952774499,0.591349257585539,847.0
T_truncatus,0.5681818181818182,0.33292978208232443,0.4198473282442748,826.0
accuracy,0.5305062743401125,0.5305062743401125,0.5305062743401125,0.5305062743401125
macro avg,0.4805999501446326,0.5743294740076405,0.48913617915261787,4622.0
weighted avg,0.6109827311151129,0.5305062743401125,0.5468842121765876,4622.0
balanced_accuracy,0.5743294740076405,,,
