Labels,precision,recall,f1-score,support
Delphinus,0.2096069868995633,0.6260869565217392,0.31406761177753545,230.0
S_attenuata,0.3159922928709056,0.43386243386243384,0.3656633221850613,378.0
S_bredanensis,0.38926174496644295,0.8345323741007195,0.5308924485125858,139.0
S_clymene,0.4330935251798561,0.6919540229885057,0.5327433628318584,435.0
S_frontalis,0.7783661119515886,0.5823429541595926,0.6662350275169958,1767.0
S_longirostris,0.6677115987460815,0.5029515938606848,0.5737373737373738,847.0
T_truncatus,0.5269978401727862,0.29539951573849876,0.3785880527540729,826.0
accuracy,0.5244482907832108,0.5244482907832108,0.5244482907832108,0.5244482907832108
macro avg,0.47443287154103203,0.5667328358903106,0.4802753141879262,4622.0
weighted avg,0.6028521461780149,0.5244482907832108,0.5391389615800185,4622.0
balanced_accuracy,0.5667328358903106,,,
