Labels,precision,recall,f1-score,support
Delphinus,0.23383084577114427,0.6130434782608696,0.3385354141656663,230.0
S_attenuata,0.2923076923076923,0.4021164021164021,0.33853006681514475,378.0
S_bredanensis,0.4101694915254237,0.8705035971223022,0.5576036866359447,139.0
S_clymene,0.42735042735042733,0.6896551724137931,0.5277044854881267,435.0
S_frontalis,0.7896341463414634,0.5863044708545557,0.6729457616109127,1767.0
S_longirostris,0.658008658008658,0.538370720188902,0.5922077922077922,847.0
T_truncatus,0.5492957746478874,0.3305084745762712,0.4126984126984127,826.0
accuracy,0.5363479013414106,0.5363479013414106,0.5363479013414106,0.5363479013414106
macro avg,0.48008529085038526,0.5757860450761564,0.49146080280314275,4622.0
weighted avg,0.6087234048500638,0.5363479013414106,0.5505127485502663,4622.0
balanced_accuracy,0.5757860450761564,,,
