Labels,precision,recall,f1-score,support
Delphinus,0.22150882825040127,0.6,0.3235638921453693,230.0
S_attenuata,0.3,0.48412698412698413,0.37044534412955465,378.0
S_bredanensis,0.4117647058823529,0.8561151079136691,0.5560747663551402,139.0
S_clymene,0.4345146379044684,0.6482758620689655,0.5202952029520295,435.0
S_frontalis,0.7909162098668755,0.5715902659875495,0.6636005256241787,1767.0
S_longirostris,0.634393063583815,0.5182998819362455,0.5705003248862898,847.0
T_truncatus,0.4979253112033195,0.29055690072639223,0.3669724770642202,826.0
accuracy,0.5216356555603635,0.5216356555603635,0.5216356555603635,0.5216356555603635
macro avg,0.4701461080987475,0.566995000394258,0.4816360761652546,4622.0
weighted avg,0.5964436103089322,0.5216356555603635,0.5359121616385896,4622.0
balanced_accuracy,0.566995000394258,,,
