Labels,precision,recall,f1-score,support
Delphinus,0.19877675840978593,0.5652173913043478,0.29411764705882354,230.0
S_attenuata,0.3100511073253833,0.48148148148148145,0.3772020725388601,378.0
S_bredanensis,0.42857142857142855,0.8848920863309353,0.5774647887323944,139.0
S_clymene,0.42511346444780634,0.6459770114942529,0.5127737226277372,435.0
S_frontalis,0.7756563245823389,0.5517826825127334,0.6448412698412699,1767.0
S_longirostris,0.6572700296735905,0.5230224321133412,0.5825115055884287,847.0
T_truncatus,0.5358565737051793,0.32566585956416466,0.40512048192771083,826.0
accuracy,0.5199048031155344,0.5199048031155344,0.5199048031155344,0.5199048031155344
macro avg,0.4758993838165018,0.568291277828751,0.48486164118788927,4622.0
weighted avg,0.6008921958374019,0.5199048031155344,0.5367816755377107,4622.0
balanced_accuracy,0.568291277828751,,,
