Labels,precision,recall,f1-score,support
Delphinus,0.1629139072847682,0.5347826086956522,0.24974619289340103,230.0
S_attenuata,0.2641509433962264,0.37037037037037035,0.30837004405286345,378.0
S_bredanensis,0.3952702702702703,0.841726618705036,0.5379310344827586,139.0
S_clymene,0.36447368421052634,0.6367816091954023,0.4635983263598326,435.0
S_frontalis,0.761709120788825,0.5246179966044142,0.621313672922252,1767.0
S_longirostris,0.5912806539509536,0.512396694214876,0.5490196078431373,847.0
T_truncatus,0.42424242424242425,0.1694915254237288,0.2422145328719723,826.0
accuracy,0.46689744699264385,0.46689744699264385,0.46689744699264385,0.46689744699264385
macro avg,0.4234344291634278,0.5128810604584971,0.42459905877517395,4622.0
weighted avg,0.5512736582070469,0.46689744699264385,0.4788821416759197,4622.0
balanced_accuracy,0.5128810604584971,,,
