Labels,precision,recall,f1-score,support
Delphinus,0.6363636363636364,0.875,0.7368421052631579,8.0
S_attenuata,0.53125,0.8947368421052632,0.6666666666666666,19.0
S_bredanensis,0.6,1.0,0.75,6.0
S_clymene,0.7222222222222222,0.9285714285714286,0.8125,14.0
S_frontalis,0.9,0.8526315789473684,0.8756756756756757,95.0
S_longirostris,0.84,0.875,0.8571428571428571,24.0
T_truncatus,0.7647058823529411,0.35135135135135137,0.48148148148148145,37.0
accuracy,0.7783251231527094,0.7783251231527094,0.7783251231527094,0.7783251231527094
macro avg,0.7135059629912571,0.8253273144250588,0.7400441123185484,203.0
weighted avg,0.8022161963008818,0.7783251231527094,0.7685312122374606,203.0
balanced_accuracy,0.8253273144250588,,,
