Labels,precision,recall,f1-score,support
Delphinus,0.18072289156626506,0.5217391304347826,0.2684563758389262,230.0
S_attenuata,0.2539404553415061,0.3835978835978836,0.3055848261327713,378.0
S_bredanensis,0.40350877192982454,0.8273381294964028,0.5424528301886793,139.0
S_clymene,0.3731543624161074,0.639080459770115,0.4711864406779661,435.0
S_frontalis,0.7451737451737451,0.5461233729485003,0.6303069888961463,1767.0
S_longirostris,0.5973645680819912,0.4817001180637544,0.5333333333333333,847.0
T_truncatus,0.32189973614775724,0.14769975786924938,0.2024896265560166,826.0
accuracy,0.4658156642146257,0.4658156642146257,0.4658156642146257,0.4658156642146257
macro avg,0.4108235043795995,0.5067541217400983,0.42197291737483417,4622.0
weighted avg,0.5288932503405634,0.4658156642146257,0.4738998896712193,4622.0
balanced_accuracy,0.5067541217400983,,,
