Labels,precision,recall,f1-score,support
Delphinus,0.5384615384615384,0.875,0.6666666666666666,8.0
S_attenuata,0.4857142857142857,0.8947368421052632,0.6296296296296297,19.0
S_bredanensis,0.6,1.0,0.75,6.0
S_clymene,0.8125,0.9285714285714286,0.8666666666666667,14.0
S_frontalis,0.8888888888888888,0.8421052631578947,0.8648648648648649,95.0
S_longirostris,0.7692307692307693,0.8333333333333334,0.8,24.0
T_truncatus,0.8461538461538461,0.2972972972972973,0.44,37.0
accuracy,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724
macro avg,0.7058499040641897,0.8101491663521738,0.7168325468325468,203.0
weighted avg,0.8016006844824577,0.7586206896551724,0.7466590728659696,203.0
balanced_accuracy,0.8101491663521738,,,
