Delphinus_LOGO_IND,S_attenuata_LOGO_IND,S_bredanensis_LOGO_IND,S_clymene_LOGO_IND,S_frontalis_LOGO_IND,S_longirostris_LOGO_IND,T_truncatus_LOGO_IND,Species_Classification,UID,EncounterNumber,KnownSpecies
0.175,0.06,0.03,0.45,0.097,0.04,0.148,S_clymene,0,PMC_12_A15,Delphinus
0.153,0.044,0.051,0.474,0.116,0.061,0.101,S_clymene,1,PMC_12_A15,Delphinus
0.08,0.077,0.046,0.468,0.149,0.084,0.096,S_clymene,2,PMC_12_A15,Delphinus
0.317,0.122,0.05,0.067,0.084,0.086,0.274,Delphinus,3,PMC_12_A15,Delphinus
0.164,0.139,0.009,0.022,0.013,0.05,0.603,T_truncatus,4,PMC_12_A15,Delphinus
0.825,0.017,0.014,0.006,0.029,0.066,0.043,Delphinus,5,PMC_12_A15,Delphinus
0.149,0.06,0.035,0.46,0.105,0.047,0.144,S_clymene,6,PMC_12_A15,Delphinus
0.313,0.138,0.032,0.072,0.053,0.098,0.294,Delphinus,7,PMC_12_A15,Delphinus
0.357,0.113,0.008,0.02,0.017,0.081,0.404,T_truncatus,8,PMC_12_A15,Delphinus
0.099,0.173,0.026,0.107,0.035,0.062,0.498,T_truncatus,9,PMC_12_A15,Delphinus
0.254,0.103,0.017,0.017,0.018,0.032,0.559,T_truncatus,10,PMC_12_A15,Delphinus
0.5,0.03,0.027,0.019,0.024,0.38,0.02,Delphinus,11,PMC_12_A15,Delphinus
0.708,0.006,0.01,0.016,0.013,0.224,0.023,Delphinus,12,PMC_12_A15,Delphinus
0.667,0.006,0.021,0.051,0.011,0.214,0.03,Delphinus,13,PMC_12_A15,Delphinus
0.125,0.15,0.031,0.063,0.035,0.073,0.523,T_truncatus,14,PMC_12_A15,Delphinus
0.336,0.341,0.018,0.025,0.205,0.048,0.027,S_attenuata,15,PMC_12_A15,Delphinus
0.519,0.147,0.054,0.064,0.053,0.064,0.099,Delphinus,16,PMC_12_A33,Delphinus
0.233,0.086,0.031,0.149,0.043,0.194,0.264,T_truncatus,17,PMC_12_A33,Delphinus
0.329,0.064,0.012,0.09,0.038,0.325,0.142,Delphinus,18,PMC_12_A33,Delphinus
0.286,0.121,0.068,0.018,0.294,0.141,0.072,S_frontalis,19,PMC_12_A33,Delphinus
0.212,0.118,0.032,0.186,0.221,0.089,0.142,S_frontalis,20,PMC_12_A33,Delphinus
0.254,0.125,0.061,0.031,0.298,0.162,0.069,S_frontalis,21,PMC_12_A33,Delphinus
0.312,0.084,0.067,0.027,0.305,0.141,0.064,Delphinus,22,PMC_12_A33,Delphinus
0.087,0.17,0.03,0.02,0.398,0.101,0.194,S_frontalis,23,PMC_12_A33,Delphinus
0.08,0.106,0.057,0.015,0.594,0.108,0.04,S_frontalis,24,PMC_12_A33,Delphinus
0.043,0.318,0.216,0.053,0.115,0.084,0.171,S_attenuata,25,PMC_12_A33,Delphinus
0.022,0.021,0.641,0.057,0.117,0.041,0.101,S_bredanensis,26,PMC_12_A33,Delphinus
0.015,0.001,0.857,0.025,0.033,0.01,0.059,S_bredanensis,27,PMC_12_A33,Delphinus
0.064,0.083,0.009,0.002,0.686,0.093,0.063,S_frontalis,28,PMC_12_A33,Delphinus
0.271,0.113,0.095,0.083,0.158,0.117,0.163,Delphinus,29,PMC_12_A33,Delphinus
0.09,0.066,0.037,0.004,0.654,0.081,0.068,S_frontalis,30,PMC_12_A33,Delphinus
0.029,0.055,0.669,0.021,0.022,0.003,0.201,S_bredanensis,31,PMC_12_A33,Delphinus
0.03,0.012,0.693,0.048,0.109,0.038,0.07,S_bredanensis,32,PMC_12_A33,Delphinus
0.16,0.224,0.068,0.127,0.154,0.155,0.112,S_attenuata,33,PMC_12_A33,Delphinus
0.146,0.319,0.08,0.012,0.276,0.082,0.085,S_attenuata,34,PMC_12_A33,Delphinus
0.176,0.115,0.054,0.125,0.172,0.118,0.24,T_truncatus,35,PMC_12_A33,Delphinus
0.112,0.158,0.045,0.112,0.224,0.092,0.257,T_truncatus,36,PMC_12_A33,Delphinus
0.21,0.109,0.054,0.208,0.115,0.106,0.198,Delphinus,37,PMC_12_A33,Delphinus
0.137,0.492,0.026,0.043,0.12,0.127,0.055,S_attenuata,38,PMC_12_A33,Delphinus
0.231,0.051,0.06,0.364,0.09,0.095,0.109,S_clymene,39,PMC_12_A33,Delphinus
0.118,0.094,0.024,0.183,0.117,0.071,0.393,T_truncatus,40,PMC_12_A33,Delphinus
0.482,0.044,0.077,0.034,0.142,0.172,0.049,Delphinus,41,PMC_12_A33,Delphinus
