Labels,precision,recall,f1-score,support
Delphinus,0.15384615384615385,0.4260869565217391,0.22606689734717417,230.0
S_attenuata,0.25384615384615383,0.4365079365079365,0.321011673151751,378.0
S_bredanensis,0.3879598662207358,0.8345323741007195,0.5296803652968036,139.0
S_clymene,0.3899280575539568,0.6229885057471264,0.479646017699115,435.0
S_frontalis,0.7728395061728395,0.5314091680814941,0.6297786720321932,1767.0
S_longirostris,0.5762942779291553,0.49940968122786306,0.5351043643263758,847.0
T_truncatus,0.31887755102040816,0.1513317191283293,0.20525451559934318,826.0
accuracy,0.46235395932496753,0.46235395932496753,0.46235395932496753,0.46235395932496753
macro avg,0.4076559380842005,0.5003237630450297,0.41807750077896516,4622.0
weighted avg,0.5348345101547758,0.46235395932496753,0.474080901615527,4622.0
balanced_accuracy,0.5003237630450297,,,
