Labels,precision,recall,f1-score,support
Delphinus,0.5833333333333334,0.875,0.7,8.0
S_attenuata,0.5,0.8421052631578947,0.6274509803921569,19.0
S_bredanensis,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
S_clymene,0.6190476190476191,0.9285714285714286,0.7428571428571429,14.0
S_frontalis,0.9111111111111111,0.8631578947368421,0.8864864864864865,95.0
S_longirostris,0.8333333333333334,0.8333333333333334,0.8333333333333334,24.0
T_truncatus,0.7333333333333333,0.2972972972972973,0.4230769230769231,37.0
accuracy,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724
macro avg,0.676530612244898,0.7818283643471613,0.6971245046875298,203.0
weighted avg,0.7874657909140668,0.7586206896551724,0.7477420246182924,203.0
balanced_accuracy,0.7818283643471613,,,
