Labels,precision,recall,f1-score,support
Delphinus,0.17647058823529413,0.5347826086956522,0.26537216828478966,230.0
S_attenuata,0.26038338658146964,0.4312169312169312,0.3247011952191235,378.0
S_bredanensis,0.4,0.8201438848920863,0.5377358490566038,139.0
S_clymene,0.4132730015082956,0.6298850574712643,0.4990892531876138,435.0
S_frontalis,0.7892156862745098,0.5466893039049237,0.645937813440321,1767.0
S_longirostris,0.5830945558739254,0.4805194805194805,0.5268608414239482,847.0
T_truncatus,0.372960372960373,0.1937046004842615,0.2549800796812749,826.0
accuracy,0.47749891821722196,0.47749891821722196,0.47749891821722196,0.47749891821722196
macro avg,0.4279139416334097,0.5195631238835142,0.43638245718481067,4622.0
weighted avg,0.556226176031061,0.47749891821722196,0.49196420456635115,4622.0
balanced_accuracy,0.5195631238835142,,,
