Labels,precision,recall,f1-score,support
Delphinus,0.5,0.75,0.6,8.0
S_attenuata,0.5294117647058824,0.9473684210526315,0.6792452830188679,19.0
S_bredanensis,0.6,1.0,0.75,6.0
S_clymene,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
S_frontalis,0.8723404255319149,0.8631578947368421,0.8677248677248677,95.0
S_longirostris,0.7142857142857143,0.8333333333333334,0.7692307692307693,24.0
T_truncatus,0.8181818181818182,0.24324324324324326,0.375,37.0
accuracy,0.7536945812807881,0.7536945812807881,0.7536945812807881,0.7536945812807881
macro avg,0.6987660828354553,0.7848922499298439,0.6997633967310517,203.0
weighted avg,0.7879150166035866,0.7536945812807881,0.7338722230185191,203.0
balanced_accuracy,0.7848922499298439,,,
