Labels,precision,recall,f1-score,support
Delphinus,0.16596931659693165,0.5173913043478261,0.25131995776135163,230.0
S_attenuata,0.30272108843537415,0.4708994708994709,0.36853002070393376,378.0
S_bredanensis,0.38175675675675674,0.8129496402877698,0.5195402298850574,139.0
S_clymene,0.40683229813664595,0.6022988505747127,0.4856348470806302,435.0
S_frontalis,0.7699186991869919,0.5359366157328805,0.6319652986319653,1767.0
S_longirostris,0.5885558583106267,0.5100354191263282,0.5464895635673624,847.0
T_truncatus,0.387409200968523,0.1937046004842615,0.258272800645682,826.0
accuracy,0.47836434443963655,0.47836434443963655,0.47836434443963655,0.47836434443963655
macro avg,0.4290233169131214,0.5204594144933213,0.4373932454679975,4622.0
weighted avg,0.5542169854125945,0.47836434443963655,0.491879676525934,4622.0
balanced_accuracy,0.5204594144933213,,,
